group,unknown_class,predicted,score,threshold,hf_test_index
near,wolf,cat,-9.9409,-5.9793,3877
near,pickup_truck,automobile,-9.9353,-5.9793,4515
far,bottle,ship,-9.9039,-5.9793,340
near,bus,truck,-9.9014,-5.9793,3276
far,mushroom,bird,-9.8983,-5.9793,6558
near,fox,deer,-9.8868,-5.9793,6163
near,pickup_truck,automobile,-9.86,-5.9793,7389
near,bus,truck,-9.8587,-5.9793,4296
near,bus,truck,-9.8377,-5.9793,6712
near,pickup_truck,automobile,-9.8363,-5.9793,2603
near,pickup_truck,automobile,-9.8233,-5.9793,7900
near,bus,truck,-9.8178,-5.9793,7812
near,camel,horse,-9.7895,-5.9793,9142
near,wolf,cat,-9.7778,-5.9793,7875
near,bus,truck,-9.7463,-5.9793,9232
near,camel,deer,-9.746,-5.9793,4234
far,sunflower,bird,-9.7413,-5.9793,714
near,fox,dog,-9.7409,-5.9793,8132
far,wardrobe,truck,-9.7363,-5.9793,6423
near,pickup_truck,automobile,-9.7351,-5.9793,6574
far,clock,airplane,-9.7328,-5.9793,5690
near,bus,truck,-9.7196,-5.9793,822
near,wolf,dog,-9.7138,-5.9793,3613
far,clock,cat,-9.712,-5.9793,4859
near,pickup_truck,automobile,-9.7015,-5.9793,5009
near,bus,truck,-9.6836,-5.9793,2665
far,chair,airplane,-9.6745,-5.9793,6491
near,wolf,cat,-9.6722,-5.9793,897
near,bus,truck,-9.6717,-5.9793,1662
near,pickup_truck,automobile,-9.6716,-5.9793,9662
near,bus,automobile,-9.654,-5.9793,1985
near,bus,automobile,-9.6464,-5.9793,3868
near,bus,truck,-9.6371,-5.9793,2832
near,fox,cat,-9.6334,-5.9793,8731
near,pickup_truck,automobile,-9.627,-5.9793,9447
near,pickup_truck,automobile,-9.6099,-5.9793,7207
far,wardrobe,truck,-9.6023,-5.9793,6413
near,leopard,cat,-9.6007,-5.9793,3346
near,fox,cat,-9.5954,-5.9793,7225
near,wolf,cat,-9.5918,-5.9793,214
near,bus,automobile,-9.5881,-5.9793,2203
far,chair,airplane,-9.5826,-5.9793,2684
far,keyboard,frog,-9.5753,-5.9793,6218
far,clock,bird,-9.5724,-5.9793,9533
near,pickup_truck,automobile,-9.5647,-5.9793,9878
near,leopard,frog,-9.5589,-5.9793,6395
far,bowl,automobile,-9.5588,-5.9793,452
near,bus,truck,-9.5571,-5.9793,1271
near,tractor,truck,-9.5552,-5.9793,4731
near,bus,truck,-9.5436,-5.9793,5748
far,bowl,ship,-9.5424,-5.9793,9492
far,keyboard,automobile,-9.5181,-5.9793,3693
near,bus,truck,-9.5172,-5.9793,6176
near,fox,cat,-9.5051,-5.9793,6162
near,pickup_truck,automobile,-9.494,-5.9793,4463
near,bus,truck,-9.4905,-5.9793,7508
near,pickup_truck,truck,-9.477,-5.9793,4316
near,pickup_truck,automobile,-9.4755,-5.9793,3655
near,pickup_truck,automobile,-9.4684,-5.9793,9927
near,pickup_truck,automobile,-9.4656,-5.9793,2100
far,mushroom,bird,-9.4339,-5.9793,9103
near,wolf,cat,-9.4233,-5.9793,17
near,pickup_truck,automobile,-9.4147,-5.9793,803
far,bowl,ship,-9.385,-5.9793,3765
near,bus,truck,-9.3801,-5.9793,3026
near,leopard,cat,-9.3781,-5.9793,5399
near,wolf,bird,-9.3781,-5.9793,2102
far,mushroom,frog,-9.3773,-5.9793,3305
near,wolf,dog,-9.3751,-5.9793,1026
near,bus,truck,-9.3723,-5.9793,2843
far,clock,bird,-9.3714,-5.9793,6508
near,bus,truck,-9.3585,-5.9793,94
far,bowl,automobile,-9.3572,-5.9793,6033
near,fox,deer,-9.3281,-5.9793,8405
near,pickup_truck,truck,-9.3242,-5.9793,4335
near,fox,deer,-9.3225,-5.9793,4621
near,motorcycle,truck,-9.3147,-5.9793,1023
near,bus,truck,-9.3128,-5.9793,766
near,wolf,cat,-9.3093,-5.9793,2842
near,wolf,dog,-9.3089,-5.9793,712
far,wardrobe,cat,-9.3077,-5.9793,5082
far,mushroom,frog,-9.3066,-5.9793,1820
near,leopard,cat,-9.3057,-5.9793,58
near,bus,automobile,-9.2999,-5.9793,5654
near,pickup_truck,automobile,-9.2985,-5.9793,2321
near,tractor,truck,-9.2972,-5.9793,4610
near,tractor,truck,-9.2954,-5.9793,4663
near,leopard,cat,-9.2827,-5.9793,2570
far,wardrobe,cat,-9.2793,-5.9793,9734
near,wolf,horse,-9.2776,-5.9793,7472
near,camel,horse,-9.2754,-5.9793,6475
near,bus,truck,-9.2745,-5.9793,3755
near,wolf,cat,-9.2714,-5.9793,632
near,bus,truck,-9.2653,-5.9793,6116
near,pickup_truck,automobile,-9.2646,-5.9793,6075
near,leopard,deer,-9.241,-5.9793,4943
far,clock,truck,-9.2356,-5.9793,1586
far,keyboard,truck,-9.2333,-5.9793,6131
near,pickup_truck,automobile,-9.2196,-5.9793,8082
near,pickup_truck,truck,-9.2134,-5.9793,9880
near,fox,dog,-9.2127,-5.9793,4049
far,sunflower,bird,-9.2028,-5.9793,2856
near,leopard,frog,-9.1854,-5.9793,9575
near,bus,automobile,-9.1832,-5.9793,9815
far,mushroom,cat,-9.1748,-5.9793,4417
near,bus,truck,-9.1714,-5.9793,7441
far,wardrobe,truck,-9.1585,-5.9793,1944
near,wolf,dog,-9.1552,-5.9793,2219
far,mushroom,bird,-9.1514,-5.9793,9847
near,bus,automobile,-9.1459,-5.9793,619
near,bus,truck,-9.1437,-5.9793,9835
near,bus,truck,-9.1428,-5.9793,2719
near,wolf,dog,-9.1395,-5.9793,2064
far,bowl,frog,-9.1359,-5.9793,2302
near,pickup_truck,automobile,-9.1357,-5.9793,8953
near,pickup_truck,truck,-9.134,-5.9793,5149
near,pickup_truck,truck,-9.1283,-5.9793,36
near,tractor,truck,-9.1241,-5.9793,3913
near,bus,truck,-9.1161,-5.9793,8085
near,tractor,truck,-9.1074,-5.9793,9019
near,wolf,cat,-9.1061,-5.9793,7125
near,wolf,cat,-9.1056,-5.9793,9790
near,wolf,cat,-9.0583,-5.9793,7087
near,bus,truck,-9.0497,-5.9793,1034
far,keyboard,automobile,-9.0456,-5.9793,9262
near,pickup_truck,automobile,-9.0412,-5.9793,2396
far,sunflower,frog,-9.0276,-5.9793,2831
near,fox,deer,-9.0238,-5.9793,669
near,bus,truck,-9.0218,-5.9793,2591
near,pickup_truck,automobile,-9.0207,-5.9793,9377
near,wolf,dog,-9.0135,-5.9793,8713
near,bus,truck,-9.007,-5.9793,8609
near,pickup_truck,automobile,-8.988,-5.9793,5732
near,wolf,cat,-8.9869,-5.9793,9231
far,clock,cat,-8.9853,-5.9793,6269
far,sunflower,bird,-8.9728,-5.9793,4785
far,wardrobe,truck,-8.966,-5.9793,9149
near,leopard,deer,-8.9551,-5.9793,1843
near,fox,deer,-8.953,-5.9793,3644
near,leopard,frog,-8.9413,-5.9793,6924
near,motorcycle,frog,-8.9331,-5.9793,615
far,mushroom,bird,-8.9205,-5.9793,5646
near,bus,truck,-8.9202,-5.9793,3197
far,mushroom,frog,-8.9107,-5.9793,3968
near,tractor,truck,-8.908,-5.9793,3532
near,motorcycle,automobile,-8.903,-5.9793,5650
near,fox,deer,-8.9021,-5.9793,8109
near,pickup_truck,automobile,-8.9017,-5.9793,4821
near,pickup_truck,automobile,-8.8956,-5.9793,4588
near,motorcycle,automobile,-8.8944,-5.9793,3558
near,bus,automobile,-8.8902,-5.9793,8958
near,bus,truck,-8.89,-5.9793,3887
near,wolf,dog,-8.8887,-5.9793,1519
far,wardrobe,truck,-8.8705,-5.9793,4933
far,clock,cat,-8.8669,-5.9793,6673
near,fox,cat,-8.8631,-5.9793,351
far,bowl,bird,-8.8602,-5.9793,3304
near,tractor,truck,-8.8591,-5.9793,6063
far,mushroom,bird,-8.8556,-5.9793,8962
near,bus,automobile,-8.8489,-5.9793,4586
near,wolf,dog,-8.8476,-5.9793,7980
near,tractor,truck,-8.8362,-5.9793,8329
far,chair,airplane,-8.8342,-5.9793,5683
far,wardrobe,truck,-8.8132,-5.9793,797
far,wardrobe,truck,-8.7979,-5.9793,2432
near,bus,automobile,-8.7902,-5.9793,2698
near,fox,deer,-8.7871,-5.9793,2544
near,leopard,frog,-8.7835,-5.9793,274
near,tractor,truck,-8.7827,-5.9793,6807
far,clock,automobile,-8.7811,-5.9793,3210
far,chair,airplane,-8.7807,-5.9793,5096
far,keyboard,airplane,-8.7776,-5.9793,8312
near,pickup_truck,automobile,-8.7665,-5.9793,8219
near,pickup_truck,automobile,-8.7498,-5.9793,8165
near,camel,cat,-8.7494,-5.9793,9412
far,mushroom,bird,-8.7231,-5.9793,7787
near,bus,truck,-8.717,-5.9793,8717
near,wolf,cat,-8.7169,-5.9793,4153
far,keyboard,airplane,-8.7075,-5.9793,7868
far,keyboard,airplane,-8.7064,-5.9793,3579
far,sunflower,bird,-8.7017,-5.9793,7328
far,keyboard,airplane,-8.7006,-5.9793,2055
near,tractor,truck,-8.6977,-5.9793,4691
far,bottle,cat,-8.6884,-5.9793,3316
near,pickup_truck,automobile,-8.6809,-5.9793,5008
near,motorcycle,truck,-8.6806,-5.9793,3732
near,camel,deer,-8.6581,-5.9793,7445
far,chair,airplane,-8.6541,-5.9793,2965
near,pickup_truck,automobile,-8.6517,-5.9793,1327
near,wolf,dog,-8.6423,-5.9793,7308
far,sunflower,bird,-8.6364,-5.9793,9775
near,bus,airplane,-8.6328,-5.9793,6791
near,pickup_truck,automobile,-8.6319,-5.9793,9429
near,wolf,dog,-8.622,-5.9793,5425
near,tractor,truck,-8.6206,-5.9793,1260
far,mushroom,frog,-8.6197,-5.9793,1196
far,chair,airplane,-8.6003,-5.9793,6245
far,clock,ship,-8.5936,-5.9793,2533
near,pickup_truck,automobile,-8.5908,-5.9793,7823
near,tractor,truck,-8.5778,-5.9793,9288
far,sunflower,dog,-8.5759,-5.9793,2545
near,wolf,dog,-8.5692,-5.9793,7135
near,wolf,dog,-8.5588,-5.9793,5291
near,camel,horse,-8.5479,-5.9793,1060
far,mushroom,frog,-8.5477,-5.9793,3502
near,tractor,truck,-8.5383,-5.9793,9704
far,mushroom,dog,-8.535,-5.9793,8701
near,pickup_truck,truck,-8.5229,-5.9793,256
far,bowl,ship,-8.5188,-5.9793,4863
near,bus,truck,-8.5136,-5.9793,3106
far,wardrobe,truck,-8.5074,-5.9793,7171
near,camel,dog,-8.5014,-5.9793,1687
near,wolf,cat,-8.4982,-5.9793,2933
near,wolf,dog,-8.4942,-5.9793,6967
near,leopard,cat,-8.489,-5.9793,8324
far,wardrobe,truck,-8.4779,-5.9793,6809
near,camel,horse,-8.4609,-5.9793,2145
near,pickup_truck,automobile,-8.4529,-5.9793,4881
near,leopard,frog,-8.4468,-5.9793,9238
far,chair,airplane,-8.4451,-5.9793,9600
near,tractor,truck,-8.4414,-5.9793,2123
near,leopard,frog,-8.4357,-5.9793,1994
far,mushroom,bird,-8.4212,-5.9793,4982
far,mushroom,bird,-8.4194,-5.9793,8707
near,leopard,cat,-8.413,-5.9793,9406
near,pickup_truck,automobile,-8.4064,-5.9793,7866
near,tractor,truck,-8.3934,-5.9793,2956
near,wolf,dog,-8.3793,-5.9793,9942
far,keyboard,cat,-8.3788,-5.9793,3586
near,camel,dog,-8.3786,-5.9793,4345
near,fox,deer,-8.3732,-5.9793,7621
near,wolf,dog,-8.3718,-5.9793,809
near,pickup_truck,automobile,-8.3589,-5.9793,5715
near,tractor,truck,-8.3539,-5.9793,9259
near,wolf,dog,-8.3516,-5.9793,4285
near,leopard,cat,-8.3404,-5.9793,259
near,tractor,truck,-8.3337,-5.9793,921
far,keyboard,truck,-8.3335,-5.9793,6907
far,sunflower,bird,-8.332,-5.9793,3942
near,leopard,frog,-8.3307,-5.9793,7412
far,wardrobe,cat,-8.3307,-5.9793,3378
near,camel,bird,-8.3291,-5.9793,8648
near,motorcycle,truck,-8.3276,-5.9793,5350
near,leopard,frog,-8.3158,-5.9793,8695
far,chair,bird,-8.3104,-5.9793,8666
near,tractor,truck,-8.3088,-5.9793,1081
far,bowl,cat,-8.3067,-5.9793,1865
far,mushroom,bird,-8.3064,-5.9793,2620
near,fox,horse,-8.2966,-5.9793,4889
near,tractor,truck,-8.2955,-5.9793,3484
near,fox,cat,-8.2932,-5.9793,2756
far,bottle,frog,-8.2925,-5.9793,9755
near,camel,cat,-8.2897,-5.9793,8143
near,bus,truck,-8.2799,-5.9793,1478
far,sunflower,dog,-8.2776,-5.9793,3089
near,wolf,dog,-8.2719,-5.9793,4602
far,wardrobe,truck,-8.2665,-5.9793,7604
far,bottle,cat,-8.2648,-5.9793,7443
near,fox,horse,-8.2573,-5.9793,7799
far,sunflower,bird,-8.2549,-5.9793,788
near,leopard,frog,-8.2514,-5.9793,5905
near,tractor,truck,-8.2488,-5.9793,2144
near,pickup_truck,automobile,-8.2414,-5.9793,8519
near,fox,cat,-8.2215,-5.9793,4004
far,keyboard,truck,-8.2019,-5.9793,7698
far,chair,airplane,-8.1969,-5.9793,1434
far,bowl,cat,-8.1942,-5.9793,1696
near,pickup_truck,automobile,-8.1929,-5.9793,1212
near,camel,deer,-8.1866,-5.9793,5029
near,pickup_truck,automobile,-8.1755,-5.9793,2882
far,wardrobe,truck,-8.1752,-5.9793,5587
far,clock,automobile,-8.1704,-5.9793,6490
far,bowl,ship,-8.1693,-5.9793,7345
near,wolf,cat,-8.1679,-5.9793,7028
far,clock,dog,-8.1493,-5.9793,1875
near,pickup_truck,truck,-8.1487,-5.9793,150
far,bottle,cat,-8.1471,-5.9793,5981
far,clock,cat,-8.135,-5.9793,3282
far,chair,airplane,-8.1326,-5.9793,4259
far,chair,bird,-8.1323,-5.9793,2152
far,bottle,truck,-8.1249,-5.9793,2963
far,wardrobe,truck,-8.1185,-5.9793,220
near,pickup_truck,automobile,-8.1124,-5.9793,9676
near,leopard,deer,-8.1124,-5.9793,7772
near,pickup_truck,truck,-8.1108,-5.9793,9368
near,wolf,cat,-8.1098,-5.9793,1752
far,mushroom,frog,-8.1078,-5.9793,7483
far,sunflower,bird,-8.1016,-5.9793,238
near,leopard,cat,-8.0998,-5.9793,9318
far,bowl,automobile,-8.0968,-5.9793,4830
far,clock,bird,-8.0916,-5.9793,6774
far,bowl,dog,-8.0831,-5.9793,6079
far,mushroom,dog,-8.083,-5.9793,6194
far,bowl,bird,-8.0803,-5.9793,5716
near,leopard,cat,-8.0741,-5.9793,6409
near,fox,deer,-8.0731,-5.9793,2356
far,mushroom,bird,-8.0718,-5.9793,6729
near,wolf,horse,-8.0586,-5.9793,2337
near,bus,automobile,-8.0535,-5.9793,8126
far,bowl,bird,-8.0532,-5.9793,6519
far,wardrobe,truck,-8.0417,-5.9793,4087
far,bowl,cat,-8.0384,-5.9793,8004
near,camel,dog,-8.0377,-5.9793,9266
far,bottle,cat,-8.0327,-5.9793,2510
near,camel,bird,-8.0248,-5.9793,5762
far,sunflower,frog,-8.0208,-5.9793,9907
far,bottle,cat,-8.0171,-5.9793,1318
near,fox,deer,-8.0157,-5.9793,4264
far,keyboard,truck,-8.01,-5.9793,8369
near,pickup_truck,automobile,-8.0067,-5.9793,5110
far,bottle,automobile,-8.0052,-5.9793,2314
far,keyboard,truck,-8.0024,-5.9793,6543
far,bowl,frog,-8.0014,-5.9793,9561
near,fox,cat,-7.9968,-5.9793,3823
near,pickup_truck,automobile,-7.9958,-5.9793,6653
far,keyboard,cat,-7.9856,-5.9793,1052
far,mushroom,frog,-7.9763,-5.9793,7632
near,leopard,frog,-7.976,-5.9793,2647
near,leopard,frog,-7.9751,-5.9793,8904
near,pickup_truck,truck,-7.9737,-5.9793,7962
far,wardrobe,truck,-7.9726,-5.9793,6783
far,chair,airplane,-7.9715,-5.9793,5926
near,motorcycle,automobile,-7.9665,-5.9793,3376
near,pickup_truck,automobile,-7.9658,-5.9793,578
far,chair,bird,-7.96,-5.9793,4847
near,fox,cat,-7.9592,-5.9793,8187
near,leopard,frog,-7.9573,-5.9793,8334
near,fox,deer,-7.952,-5.9793,1698
near,fox,cat,-7.9519,-5.9793,4706
near,tractor,ship,-7.9485,-5.9793,2911
near,fox,cat,-7.9482,-5.9793,9148
near,leopard,bird,-7.948,-5.9793,5316
near,wolf,cat,-7.9413,-5.9793,4470
far,wardrobe,truck,-7.9397,-5.9793,8236
far,keyboard,ship,-7.9388,-5.9793,2023
far,clock,cat,-7.9309,-5.9793,5414
near,camel,dog,-7.9282,-5.9793,4435
far,chair,automobile,-7.921,-5.9793,3286
near,pickup_truck,automobile,-7.8905,-5.9793,7570
near,motorcycle,frog,-7.8894,-5.9793,3748
far,wardrobe,truck,-7.8889,-5.9793,1415
far,keyboard,cat,-7.8879,-5.9793,1495
near,camel,deer,-7.8806,-5.9793,7194
near,pickup_truck,truck,-7.8715,-5.9793,9871
near,wolf,cat,-7.8668,-5.9793,3849
near,fox,dog,-7.8654,-5.9793,7503
near,pickup_truck,automobile,-7.8598,-5.9793,4693
near,camel,deer,-7.8514,-5.9793,8604
near,tractor,ship,-7.8492,-5.9793,7884
far,chair,airplane,-7.8437,-5.9793,2086
far,mushroom,bird,-7.8415,-5.9793,9778
near,tractor,truck,-7.8402,-5.9793,995
near,pickup_truck,automobile,-7.8384,-5.9793,460
near,fox,deer,-7.8317,-5.9793,9842
near,tractor,truck,-7.8311,-5.9793,2029
near,bus,truck,-7.8311,-5.9793,2484
far,chair,truck,-7.831,-5.9793,562
near,fox,cat,-7.8278,-5.9793,9453
near,leopard,frog,-7.8234,-5.9793,9612
far,wardrobe,cat,-7.8098,-5.9793,4033
near,bus,automobile,-7.8024,-5.9793,3236
far,clock,automobile,-7.7974,-5.9793,1982
far,bowl,cat,-7.7962,-5.9793,4252
far,clock,cat,-7.7937,-5.9793,4475
near,wolf,cat,-7.7803,-5.9793,7752
near,fox,frog,-7.777,-5.9793,8381
near,motorcycle,cat,-7.7765,-5.9793,1404
far,clock,truck,-7.7745,-5.9793,7224
near,tractor,truck,-7.7739,-5.9793,3177
far,bowl,airplane,-7.772,-5.9793,2300
near,tractor,truck,-7.7629,-5.9793,8026
near,fox,deer,-7.7591,-5.9793,1425
far,wardrobe,cat,-7.7584,-5.9793,5565
far,clock,frog,-7.7524,-5.9793,1806
far,sunflower,frog,-7.7498,-5.9793,5573
near,motorcycle,cat,-7.7437,-5.9793,5114
near,camel,deer,-7.739,-5.9793,5519
near,fox,frog,-7.7389,-5.9793,6505
near,bus,truck,-7.7363,-5.9793,5634
near,pickup_truck,automobile,-7.7275,-5.9793,8966
near,pickup_truck,truck,-7.7258,-5.9793,1913
near,wolf,dog,-7.7211,-5.9793,2340
far,wardrobe,cat,-7.7127,-5.9793,3015
near,tractor,truck,-7.6944,-5.9793,2624
near,bus,airplane,-7.6883,-5.9793,4104
near,bus,truck,-7.6824,-5.9793,1489
near,fox,cat,-7.6797,-5.9793,3760
near,fox,deer,-7.673,-5.9793,2349
near,pickup_truck,automobile,-7.6566,-5.9793,8503
far,keyboard,horse,-7.653,-5.9793,4183
far,bottle,cat,-7.6437,-5.9793,6507
near,pickup_truck,truck,-7.641,-5.9793,796
near,fox,cat,-7.6383,-5.9793,1227
far,keyboard,truck,-7.6381,-5.9793,6510
near,tractor,truck,-7.636,-5.9793,9039
near,motorcycle,airplane,-7.6334,-5.9793,4461
near,camel,airplane,-7.6318,-5.9793,8732
near,tractor,truck,-7.6286,-5.9793,9708
far,bottle,bird,-7.62,-5.9793,997
near,motorcycle,cat,-7.6193,-5.9793,2148
near,wolf,deer,-7.6168,-5.9793,6010
near,fox,deer,-7.6151,-5.9793,1133
far,clock,automobile,-7.6037,-5.9793,8572
far,wardrobe,truck,-7.5912,-5.9793,3705
near,camel,bird,-7.5911,-5.9793,7200
near,leopard,deer,-7.591,-5.9793,5016
far,chair,airplane,-7.5882,-5.9793,4668
far,bowl,cat,-7.5875,-5.9793,4367
near,leopard,frog,-7.5872,-5.9793,6401
near,pickup_truck,automobile,-7.5742,-5.9793,1491
near,wolf,cat,-7.569,-5.9793,6447
near,tractor,truck,-7.5633,-5.9793,6930
near,camel,horse,-7.5597,-5.9793,5293
far,keyboard,bird,-7.5559,-5.9793,1264
far,mushroom,deer,-7.5555,-5.9793,963
near,camel,horse,-7.5489,-5.9793,7128
far,mushroom,cat,-7.5427,-5.9793,3636
near,wolf,dog,-7.5321,-5.9793,3817
near,fox,cat,-7.5309,-5.9793,2435
near,fox,deer,-7.5062,-5.9793,4754
near,motorcycle,automobile,-7.4906,-5.9793,2082
near,bus,automobile,-7.4826,-5.9793,4788
near,wolf,cat,-7.4821,-5.9793,3663
near,pickup_truck,truck,-7.482,-5.9793,8391
near,camel,dog,-7.4767,-5.9793,5285
far,keyboard,frog,-7.4748,-5.9793,5577
far,chair,airplane,-7.4706,-5.9793,3186
near,leopard,cat,-7.4706,-5.9793,7367
far,keyboard,airplane,-7.4576,-5.9793,5777
near,bus,truck,-7.457,-5.9793,4201
far,chair,airplane,-7.4522,-5.9793,3293
near,leopard,cat,-7.4517,-5.9793,9187
near,bus,truck,-7.4508,-5.9793,7376
near,bus,truck,-7.4499,-5.9793,9572
far,keyboard,airplane,-7.4444,-5.9793,6419
near,wolf,dog,-7.4426,-5.9793,2618
far,wardrobe,truck,-7.4399,-5.9793,9186
far,bottle,bird,-7.4323,-5.9793,1045
near,camel,dog,-7.4286,-5.9793,2946
near,bus,truck,-7.4257,-5.9793,4998
near,pickup_truck,automobile,-7.4054,-5.9793,5932
near,pickup_truck,automobile,-7.4031,-5.9793,5756
near,pickup_truck,automobile,-7.3931,-5.9793,2421
near,wolf,cat,-7.3739,-5.9793,255
far,wardrobe,truck,-7.3737,-5.9793,6161
near,wolf,dog,-7.3645,-5.9793,3731
far,mushroom,bird,-7.3619,-5.9793,5820
near,tractor,truck,-7.3593,-5.9793,8258
near,wolf,cat,-7.3589,-5.9793,8418
near,motorcycle,dog,-7.3585,-5.9793,7471
far,clock,dog,-7.3578,-5.9793,7917
near,tractor,truck,-7.3501,-5.9793,5327
near,wolf,cat,-7.3329,-5.9793,6324
near,camel,horse,-7.332,-5.9793,3831
near,leopard,cat,-7.3302,-5.9793,7078
far,mushroom,dog,-7.323,-5.9793,7104
near,fox,cat,-7.3219,-5.9793,5084
near,tractor,truck,-7.3057,-5.9793,6430
far,wardrobe,truck,-7.2994,-5.9793,4208
near,bus,truck,-7.2933,-5.9793,9930
near,fox,dog,-7.2831,-5.9793,6816
near,leopard,cat,-7.2827,-5.9793,9936
far,clock,automobile,-7.2807,-5.9793,9303
near,leopard,deer,-7.2742,-5.9793,1771
far,bowl,cat,-7.2701,-5.9793,2797
near,wolf,cat,-7.2685,-5.9793,6528
near,tractor,truck,-7.2671,-5.9793,6866
far,sunflower,bird,-7.2564,-5.9793,1231
far,mushroom,bird,-7.2548,-5.9793,7229
near,bus,automobile,-7.2472,-5.9793,1427
far,sunflower,bird,-7.2399,-5.9793,611
near,tractor,truck,-7.2204,-5.9793,8169
far,wardrobe,truck,-7.2159,-5.9793,1641
near,wolf,dog,-7.2099,-5.9793,8535
near,bus,truck,-7.207,-5.9793,5015
near,camel,dog,-7.2034,-5.9793,1882
near,camel,frog,-7.1947,-5.9793,5218
far,clock,ship,-7.1927,-5.9793,618
far,bottle,frog,-7.1921,-5.9793,594
near,leopard,frog,-7.1799,-5.9793,5231
far,keyboard,frog,-7.1783,-5.9793,9742
far,clock,dog,-7.1761,-5.9793,823
near,camel,cat,-7.1757,-5.9793,915
far,wardrobe,cat,-7.1718,-5.9793,194
near,wolf,cat,-7.1637,-5.9793,9768
near,leopard,cat,-7.1623,-5.9793,7609
far,sunflower,dog,-7.1563,-5.9793,4851
near,leopard,cat,-7.1442,-5.9793,5142
far,mushroom,bird,-7.1402,-5.9793,1032
near,leopard,cat,-7.1387,-5.9793,5109
near,fox,deer,-7.1254,-5.9793,6469
near,pickup_truck,truck,-7.1203,-5.9793,5736
far,sunflower,bird,-7.1164,-5.9793,6687
near,tractor,truck,-7.1117,-5.9793,6398
near,wolf,cat,-7.1084,-5.9793,6132
far,sunflower,bird,-7.1081,-5.9793,8689
near,pickup_truck,truck,-7.1023,-5.9793,156
near,wolf,cat,-7.0976,-5.9793,684
near,pickup_truck,automobile,-7.0959,-5.9793,1145
near,camel,dog,-7.0895,-5.9793,9531
near,wolf,deer,-7.0764,-5.9793,2826
far,wardrobe,truck,-7.0737,-5.9793,328
near,fox,deer,-7.0735,-5.9793,7317
near,motorcycle,frog,-7.0725,-5.9793,5311
near,fox,dog,-7.0719,-5.9793,7564
near,wolf,cat,-7.0712,-5.9793,5408
far,chair,airplane,-7.0708,-5.9793,5603
near,tractor,truck,-7.0669,-5.9793,5696
far,bottle,cat,-7.0581,-5.9793,6440
far,keyboard,airplane,-7.0575,-5.9793,8406
